,sale_date,item_name,item_tags,item_price,item_quantity,store_location,customer_gender,customer_age,customer_email,customer_satisfaction,coupon_used,purchase_method
10,2015-07-25 07:20:29.804,"['pens', 'backpack', 'envelopes', 'notepad', 'printer paper']","[['writing', 'office', 'school', 'stationary'], ['school', 'travel', 'kids'], ['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['office', 'stationary']]","[Decimal128('75.21'), Decimal128('61.11'), Decimal128('17.2'), Decimal128('37.41'), Decimal128('43.63')]","[1, 5, 8, 1, 7]",Seattle,F,34,keigutip@vaw.tc,4,False,Phone
11,2015-07-22 02:45:20.727,"['envelopes', 'notepad', 'notepad', 'notepad']","[['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['office', 'writing', 'school']]","[Decimal128('21.46'), Decimal128('21.82'), Decimal128('34.43'), Decimal128('24.11')]","[5, 1, 3, 1]",London,F,49,merto@betosiv.pm,3,False,In store
12,2014-08-18 10:42:13.935,"['backpack', 'printer paper', 'notepad', 'envelopes']","[['school', 'travel', 'kids'], ['office', 'stationary'], ['office', 'writing', 'school'], ['stationary', 'office', 'general']]","[Decimal128('187.16'), Decimal128('20.61'), Decimal128('23.75'), Decimal128('9.44')]","[2, 10, 5, 5]",San Diego,F,59,la@cevam.tj,4,False,In store
13,2015-11-15 18:08:12.414,"['laptop', 'notepad', 'envelopes', 'backpack', 'pens', 'notepad']","[['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['school', 'travel', 'kids'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school']]","[Decimal128('644.76'), Decimal128('24.4'), Decimal128('9.22'), Decimal128('83.27'), Decimal128('66.73'), Decimal128('18.87')]","[3, 3, 2, 2, 3, 5]",Seattle,M,55,eja@ko.es,2,False,Online
14,2017-08-21 20:38:34.618,"['printer paper', 'laptop', 'notepad', 'notepad', 'pens', 'notepad', 'binder', 'envelopes']","[['office', 'stationary'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['stationary', 'office', 'general']]","[Decimal128('14.96'), Decimal128('1223.33'), Decimal128('18.09'), Decimal128('25.15'), Decimal128('47.36'), Decimal128('11.5'), Decimal128('23.24'), Decimal128('5.68')]","[10, 1, 3, 3, 2, 5, 6, 8]",San Diego,F,36,gul@waija.nz,5,False,Online
15,2017-12-08 21:40:34.527,"['laptop', 'envelopes', 'printer paper']","[['electronics', 'school', 'office'], ['stationary', 'office', 'general'], ['office', 'stationary']]","[Decimal128('806.84'), Decimal128('10.63'), Decimal128('38.37')]","[2, 7, 10]",Denver,M,28,fapra@rutes.tj,3,False,Phone
16,2013-08-21 09:36:07.188,"['envelopes', 'notepad', 'backpack', 'notepad', 'pens', 'binder', 'notepad', 'laptop', 'binder']","[['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['electronics', 'school', 'office'], ['school', 'general', 'organization']]","[Decimal128('6.5'), Decimal128('8.11'), Decimal128('150.18'), Decimal128('5.65'), Decimal128('28.24'), Decimal128('14.64'), Decimal128('11.91'), Decimal128('896.67'), Decimal128('15.56')]","[5, 3, 4, 1, 5, 6, 5, 3, 4]",New York,F,53,se@nacwev.an,4,False,Phone
17,2017-11-12 20:30:15.045,"['notepad', 'pens', 'backpack', 'binder', 'binder', 'laptop', 'printer paper']","[['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['school', 'travel', 'kids'], ['school', 'general', 'organization'], ['school', 'general', 'organization'], ['electronics', 'school', 'office'], ['office', 'stationary']]","[Decimal128('9.91'), Decimal128('22.01'), Decimal128('57.14'), Decimal128('21.92'), Decimal128('20.12'), Decimal128('1541.76'), Decimal128('45.86')]","[3, 4, 2, 7, 9, 3, 6]",London,F,50,velo@nukav.fr,5,False,In store
18,2016-08-15 04:05:03.298,"['laptop', 'envelopes', 'binder', 'notepad', 'binder', 'backpack']","[['electronics', 'school', 'office'], ['stationary', 'office', 'general'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['school', 'travel', 'kids']]","[Decimal128('862.74'), Decimal128('5.04'), Decimal128('11.61'), Decimal128('5.83'), Decimal128('18.72'), Decimal128('116.93')]","[4, 8, 7, 5, 2, 1]",San Diego,F,40,elusekjiv@kuajmag.as,4,True,In store
19,2015-11-16 22:02:34.415,"['printer paper', 'binder', 'envelopes', 'pens', 'notepad', 'notepad', 'binder', 'pens', 'notepad', 'backpack']","[['office', 'stationary'], ['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'travel', 'kids']]","[Decimal128('17.3'), Decimal128('23.36'), Decimal128('21.53'), Decimal128('57.02'), Decimal128('14.04'), Decimal128('32.2'), Decimal128('20.2'), Decimal128('37.37'), Decimal128('34.61'), Decimal128('102.7')]","[1, 3, 10, 4, 4, 1, 5, 4, 1, 3]",New York,F,39,beecho@wic.be,3,False,In store
20,2015-11-12 12:06:07.052,"['binder', 'backpack', 'envelopes']","[['school', 'general', 'organization'], ['school', 'travel', 'kids'], ['stationary', 'office', 'general']]","[Decimal128('16.82'), Decimal128('142.9'), Decimal128('9.05')]","[7, 5, 8]",Denver,M,30,ziguh@lu.bf,4,False,In store
21,2015-07-27 20:05:46.464,"['printer paper', 'binder', 'notepad', 'backpack', 'pens', 'pens', 'binder', 'laptop', 'envelopes', 'envelopes']","[['office', 'stationary'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['writing', 'office', 'school', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization'], ['electronics', 'school', 'office'], ['stationary', 'office', 'general'], ['stationary', 'office', 'general']]","[Decimal128('20.97'), Decimal128('22.96'), Decimal128('19.32'), Decimal128('55.55'), Decimal128('71.57'), Decimal128('57.58'), Decimal128('24.18'), Decimal128('910.07'), Decimal128('16.13'), Decimal128('12.73')]","[3, 9, 1, 5, 3, 1, 8, 1, 6, 10]",Denver,F,31,fimpig@an.is,5,False,In store
22,2013-03-20 16:36:39.112,"['notepad', 'printer paper', 'pens', 'backpack', 'laptop', 'binder', 'notepad', 'envelopes', 'notepad', 'binder']","[['office', 'writing', 'school'], ['office', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['school', 'travel', 'kids'], ['electronics', 'school', 'office'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['school', 'general', 'organization']]","[Decimal128('25.83'), Decimal128('14.6'), Decimal128('7.49'), Decimal128('149.09'), Decimal128('898.84'), Decimal128('21.01'), Decimal128('21.06'), Decimal128('21.48'), Decimal128('39.38'), Decimal128('13.07')]","[5, 2, 1, 4, 1, 2, 4, 8, 3, 4]",San Diego,M,61,ucikosusu@sid.uz,1,False,Online
23,2016-10-04 07:04:44.122,"['binder', 'envelopes', 'envelopes', 'laptop', 'notepad']","[['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['stationary', 'office', 'general'], ['electronics', 'school', 'office'], ['office', 'writing', 'school']]","[Decimal128('20.08'), Decimal128('22.9'), Decimal128('12.33'), Decimal128('1376.45'), Decimal128('28.1')]","[7, 3, 3, 3, 5]",London,M,58,jalpo@ha.mq,5,False,In store
24,2015-05-15 13:43:24.561,"['printer paper', 'notepad', 'laptop', 'notepad', 'backpack', 'envelopes', 'envelopes', 'binder']","[['office', 'stationary'], ['office', 'writing', 'school'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['stationary', 'office', 'general'], ['stationary', 'office', 'general'], ['school', 'general', 'organization']]","[Decimal128('47.95'), Decimal128('35.27'), Decimal128('542.81'), Decimal128('13.76'), Decimal128('95.65'), Decimal128('13.77'), Decimal128('5.87'), Decimal128('20.68')]","[9, 4, 1, 5, 3, 9, 4, 7]",London,F,27,zu@bainku.za,5,False,Online
25,2017-02-09 12:08:51.353,['printer paper'],"[['office', 'stationary']]",[Decimal128('30.6')],[7],Denver,M,48,avwa@ud.pt,3,False,In store
26,2015-04-18 03:33:09.638,"['laptop', 'pens', 'pens', 'notepad', 'backpack', 'notepad', 'binder', 'binder', 'envelopes', 'printer paper']","[['electronics', 'school', 'office'], ['writing', 'office', 'school', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['office', 'stationary']]","[Decimal128('1397.24'), Decimal128('41.65'), Decimal128('66.41'), Decimal128('20.69'), Decimal128('54.49'), Decimal128('5.42'), Decimal128('24.61'), Decimal128('10.31'), Decimal128('10.76'), Decimal128('30.36')]","[2, 5, 5, 3, 1, 2, 4, 9, 10, 3]",Austin,F,37,oh@ocdumvi.mq,4,False,Online
27,2016-03-28 00:27:12.457,"['notepad', 'printer paper', 'envelopes', 'backpack', 'pens', 'notepad', 'pens']","[['office', 'writing', 'school'], ['office', 'stationary'], ['stationary', 'office', 'general'], ['school', 'travel', 'kids'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary']]","[Decimal128('19.36'), Decimal128('36.08'), Decimal128('24.91'), Decimal128('114.42'), Decimal128('9.44'), Decimal128('11.87'), Decimal128('72.88')]","[1, 3, 8, 4, 1, 3, 3]",Denver,F,48,jorcol@ir.se,4,False,In store
28,2017-07-13 07:13:43.675,"['binder', 'notepad', 'envelopes']","[['school', 'general', 'organization'], ['office', 'writing', 'school'], ['stationary', 'office', 'general']]","[Decimal128('21.66'), Decimal128('7.67'), Decimal128('13.91')]","[3, 5, 1]",Denver,F,70,wuulabeb@patsef.vu,4,False,In store
29,2016-05-16 01:49:20.963,"['binder', 'laptop']","[['school', 'general', 'organization'], ['electronics', 'school', 'office']]","[Decimal128('22.16'), Decimal128('1588.12')]","[3, 1]",Seattle,M,49,me@lih.st,4,False,Phone
30,2017-02-06 11:18:38.404,['printer paper'],"[['office', 'stationary']]",[Decimal128('26.15')],[6],Denver,M,60,du@il.ug,5,False,In store
31,2016-07-10 09:35:56.729,"['envelopes', 'printer paper', 'backpack', 'laptop', 'notepad']","[['stationary', 'office', 'general'], ['office', 'stationary'], ['school', 'travel', 'kids'], ['electronics', 'school', 'office'], ['office', 'writing', 'school']]","[Decimal128('15.74'), Decimal128('40.38'), Decimal128('46.9'), Decimal128('440.97'), Decimal128('5.91')]","[2, 3, 5, 5, 3]",Seattle,M,60,kege@nibomjo.gq,1,False,In store
32,2017-09-14 10:52:42.206,"['backpack', 'printer paper', 'pens', 'envelopes', 'notepad', 'binder', 'notepad', 'envelopes', 'notepad', 'pens']","[['school', 'travel', 'kids'], ['office', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary']]","[Decimal128('41.78'), Decimal128('38.93'), Decimal128('70.71'), Decimal128('23.63'), Decimal128('5.77'), Decimal128('17.4'), Decimal128('9.99'), Decimal128('13.32'), Decimal128('10.02'), Decimal128('52.35')]","[3, 1, 2, 6, 1, 2, 5, 2, 1, 2]",Denver,F,54,civma@rozfon.tr,5,False,In store
33,2015-11-08 06:59:18.442,"['binder', 'envelopes', 'backpack', 'notepad', 'pens', 'pens']","[['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['writing', 'office', 'school', 'stationary']]","[Decimal128('11.88'), Decimal128('8.18'), Decimal128('117.64'), Decimal128('36.28'), Decimal128('36.69'), Decimal128('40.89')]","[4, 2, 4, 1, 2, 5]",San Diego,F,33,ugmu@bekuba.tg,5,False,In store
34,2015-03-30 06:59:05.365,"['pens', 'notepad', 'envelopes', 'pens', 'notepad', 'binder', 'notepad']","[['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['office', 'writing', 'school']]","[Decimal128('59.55'), Decimal128('34.83'), Decimal128('17.31'), Decimal128('18.22'), Decimal128('31.88'), Decimal128('17.34'), Decimal128('36.18')]","[4, 4, 3, 2, 3, 5, 3]",Denver,M,66,henbaw@dasekoh.bf,4,False,Online
35,2016-05-16 03:43:15.808,"['pens', 'laptop', 'notepad', 'backpack', 'notepad']","[['writing', 'office', 'school', 'stationary'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['office', 'writing', 'school']]","[Decimal128('72.32'), Decimal128('796.74'), Decimal128('14.38'), Decimal128('158.88'), Decimal128('6.96')]","[4, 1, 4, 5, 2]",Seattle,F,26,kupeen@gareha.ne,5,True,In store
36,2016-10-19 19:12:39.499,"['notepad', 'pens', 'binder', 'printer paper', 'envelopes', 'notepad', 'binder', 'notepad']","[['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['school', 'general', 'organization'], ['office', 'stationary'], ['stationary', 'office', 'general'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['office', 'writing', 'school']]","[Decimal128('19.04'), Decimal128('69.63'), Decimal128('15.54'), Decimal128('19.72'), Decimal128('22.3'), Decimal128('30.1'), Decimal128('29.75'), Decimal128('37.43')]","[5, 4, 10, 2, 8, 3, 9, 1]",New York,F,57,cuwoik@luvgu.tc,5,False,In store
37,2013-10-19 18:39:56.083,"['backpack', 'printer paper', 'binder', 'notepad']","[['school', 'travel', 'kids'], ['office', 'stationary'], ['school', 'general', 'organization'], ['office', 'writing', 'school']]","[Decimal128('66.04'), Decimal128('35.46'), Decimal128('21.2'), Decimal128('5.12')]","[1, 4, 5, 2]",Austin,F,64,mucloji@popitdib.fi,4,False,Online
38,2013-09-30 15:18:53.756,"['notepad', 'notepad', 'binder', 'envelopes', 'printer paper', 'pens', 'envelopes', 'laptop', 'notepad']","[['office', 'writing', 'school'], ['office', 'writing', 'school'], ['school', 'general', 'organization'], ['stationary', 'office', 'general'], ['office', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['stationary', 'office', 'general'], ['electronics', 'school', 'office'], ['office', 'writing', 'school']]","[Decimal128('39.91'), Decimal128('27.87'), Decimal128('13.54'), Decimal128('5.43'), Decimal128('16.15'), Decimal128('40.01'), Decimal128('13.37'), Decimal128('1597.31'), Decimal128('30.99')]","[2, 3, 4, 9, 9, 5, 6, 4, 4]",Denver,F,59,veb@molog.eu,3,False,Online
39,2016-04-27 08:09:58.703,"['binder', 'backpack', 'notepad', 'envelopes', 'binder', 'notepad', 'notepad']","[['school', 'general', 'organization'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['office', 'writing', 'school']]","[Decimal128('10.48'), Decimal128('137.1'), Decimal128('17.4'), Decimal128('17.89'), Decimal128('23.17'), Decimal128('13.41'), Decimal128('39.32')]","[1, 5, 2, 3, 7, 2, 5]",London,M,70,nupettum@dovloc.id,4,False,In store
40,2016-09-13 16:54:42.141,"['binder', 'notepad', 'binder']","[['school', 'general', 'organization'], ['office', 'writing', 'school'], ['school', 'general', 'organization']]","[Decimal128('12.52'), Decimal128('15.48'), Decimal128('29.27')]","[6, 3, 4]",San Diego,F,70,itene@jini.ir,3,False,Phone
41,2016-10-22 18:50:44.216,['notepad'],"[['office', 'writing', 'school']]",[Decimal128('10.86')],[1],Seattle,F,52,nupzig@apubu.hu,3,True,In store
42,2016-02-24 10:22:53.004,['pens'],"[['writing', 'office', 'school', 'stationary']]",[Decimal128('15.57')],[2],London,F,74,wapunu@ba.bm,1,False,Online
43,2014-06-19 05:36:16.228,"['binder', 'printer paper', 'binder', 'backpack', 'pens', 'laptop', 'notepad', 'envelopes', 'pens']","[['school', 'general', 'organization'], ['office', 'stationary'], ['school', 'general', 'organization'], ['school', 'travel', 'kids'], ['writing', 'office', 'school', 'stationary'], ['electronics', 'school', 'office'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['writing', 'office', 'school', 'stationary']]","[Decimal128('15.9'), Decimal128('21.44'), Decimal128('13.83'), Decimal128('135.83'), Decimal128('48.87'), Decimal128('1577.42'), Decimal128('26.7'), Decimal128('23.32'), Decimal128('71.34')]","[6, 7, 10, 1, 5, 1, 5, 1, 3]",New York,M,31,do@neokliw.sz,5,False,Online
44,2015-06-04 14:24:26.136,"['laptop', 'pens', 'notepad']","[['electronics', 'school', 'office'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school']]","[Decimal128('881.57'), Decimal128('12.34'), Decimal128('15.07')]","[1, 3, 5]",New York,F,52,citga@fo.pg,5,False,In store
45,2017-09-01 20:38:29.109,['notepad'],"[['office', 'writing', 'school']]",[Decimal128('30.95')],[2],Seattle,M,52,apokas@miz.tg,5,False,Online
46,2014-09-08 22:38:56.461,"['pens', 'envelopes', 'binder', 'notepad', 'envelopes', 'binder']","[['writing', 'office', 'school', 'stationary'], ['stationary', 'office', 'general'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['school', 'general', 'organization']]","[Decimal128('10.8'), Decimal128('8.84'), Decimal128('28.98'), Decimal128('16.68'), Decimal128('16.31'), Decimal128('25.61')]","[1, 10, 4, 4, 3, 1]",Seattle,F,29,ti@zawpa.it,5,False,Online
47,2015-01-11 10:46:32.673,"['notepad', 'notepad']","[['office', 'writing', 'school'], ['office', 'writing', 'school']]","[Decimal128('5.02'), Decimal128('18.69')]","[2, 5]",Seattle,M,49,ce@jinsuod.sy,5,True,Online
48,2017-09-28 08:35:45.703,"['laptop', 'printer paper', 'binder', 'binder', 'notepad', 'pens', 'notepad']","[['electronics', 'school', 'office'], ['office', 'stationary'], ['school', 'general', 'organization'], ['school', 'general', 'organization'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school']]","[Decimal128('1531.69'), Decimal128('37'), Decimal128('25.02'), Decimal128('17.1'), Decimal128('6.1'), Decimal128('5.65'), Decimal128('10.6')]","[5, 10, 10, 7, 2, 4, 5]",London,M,71,ep@jedofi.gd,5,False,Online
49,2016-09-18 06:34:37.325,"['notepad', 'backpack', 'notepad', 'envelopes', 'envelopes']","[['office', 'writing', 'school'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['stationary', 'office', 'general'], ['stationary', 'office', 'general']]","[Decimal128('31.54'), Decimal128('40.69'), Decimal128('5.62'), Decimal128('17.68'), Decimal128('21.1')]","[2, 3, 5, 10, 2]",Denver,F,37,vo@fow.gq,1,False,In store
50,2014-08-19 01:07:54.005,"['binder', 'pens', 'pens', 'laptop', 'binder', 'envelopes']","[['school', 'general', 'organization'], ['writing', 'office', 'school', 'stationary'], ['writing', 'office', 'school', 'stationary'], ['electronics', 'school', 'office'], ['school', 'general', 'organization'], ['stationary', 'office', 'general']]","[Decimal128('11.99'), Decimal128('48.25'), Decimal128('7.01'), Decimal128('609.18'), Decimal128('27.68'), Decimal128('9.52')]","[8, 5, 5, 4, 1, 10]",Austin,F,50,nahnima@kec.pl,3,True,Online
51,2017-03-24 07:35:43.837,"['notepad', 'laptop', 'backpack', 'notepad', 'pens', 'notepad', 'binder']","[['office', 'writing', 'school'], ['electronics', 'school', 'office'], ['school', 'travel', 'kids'], ['office', 'writing', 'school'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'general', 'organization']]","[Decimal128('6.83'), Decimal128('1586.7'), Decimal128('125.22'), Decimal128('28.62'), Decimal128('20.31'), Decimal128('11.3'), Decimal128('18.94')]","[2, 5, 3, 1, 5, 3, 4]",Denver,F,48,atrufsu@jiklean.uy,4,False,Online
52,2016-01-19 20:06:31.410,"['notepad', 'printer paper', 'envelopes']","[['office', 'writing', 'school'], ['office', 'stationary'], ['stationary', 'office', 'general']]","[Decimal128('20.28'), Decimal128('11.99'), Decimal128('15.65')]","[5, 7, 5]",Austin,F,29,gi@ibiizabu.com,4,False,In store
53,2014-07-24 02:47:51.251,"['printer paper', 'binder', 'pens', 'notepad', 'binder']","[['office', 'stationary'], ['school', 'general', 'organization'], ['writing', 'office', 'school', 'stationary'], ['office', 'writing', 'school'], ['school', 'general', 'organization']]","[Decimal128('38.65'), Decimal128('13.21'), Decimal128('55.37'), Decimal128('14.49'), Decimal128('21.05')]","[3, 4, 4, 4, 9]",Seattle,M,53,posti@reppijnup.la,2,False,In store
